inputName,key
11,-36
19,-28
12,-32
38,-3
81,-36
5,-51
40,24
70,24
23,-103
72,-32
79,-28
78,-3
87,-55
6,-42
68,-3
69,-28
1,-36
45,-51
33,-103
15,-51
93,-103
24,79
25,-51
26,-42
48,-3
71,-36
76,-42
7,-55
50,24
22,-32
4,79
32,-32
77,-55
91,-36
42,-32
13,-103
41,-36
55,-51
31,-36
66,-42
65,-51
62,-32
21,-36
95,-51
84,79
58,-3
64,79
83,-103
94,79
0,24
99,-28
96,-42
67,-55
61,-36
43,-103
2,-32
54,79
30,24
59,-28
85,-51
74,79
90,24
18,-3
52,-32
44,79
17,-55
36,-42
49,-28
86,-42
37,-55
56,-42
63,-103
35,-51
97,-55
75,-51
57,-55
88,-3
10,24
53,-103
8,-3
39,-28
47,-55
60,24
89,-28
51,-36
14,79
28,-3
16,-42
34,79
82,-32
46,-42
27,-55
20,24
9,-28
92,-32
3,-103
98,-3
29,-28
80,24
73,-103
