inputName,goal
11,186
19,79
12,32
38,13
81,186
5,68
40,241
70,241
23,125
72,32
79,79
78,13
87,178
6,210
68,13
69,79
1,186
45,68
33,125
15,68
93,125
24,110
25,68
26,210
48,13
71,186
76,210
7,178
50,241
22,32
4,110
32,32
77,178
91,186
42,32
13,125
41,186
55,68
31,186
66,210
65,68
62,32
21,186
95,68
84,110
58,13
64,110
83,125
94,110
0,241
99,79
96,210
67,178
61,186
43,125
2,32
54,110
30,241
59,79
85,68
74,110
90,241
18,13
52,32
44,110
17,178
36,210
49,79
86,210
37,178
56,210
63,125
35,68
97,178
75,68
57,178
88,13
10,241
53,125
8,13
39,79
47,178
60,241
89,79
51,186
14,110
28,13
16,210
34,110
82,32
46,210
27,178
20,241
9,79
92,32
3,125
98,13
29,79
80,241
73,125
