inputName,size,a[size]
values_11,9,"{25, -18, 121, 16, -14, -4, -116, -96, 106"
values_19,27,"{87, 104, -77, -29, -109, -110, -14, 94, -55, -89, -91, -30, -116, -123, -39, -66, 123, 99, -56, 102, -111, -128, -123, 100, 38, 69, -58"
values_12,28,"{-87, -111, -114, -102, -71, -24, -56, -124, -76, 87, -45, 93, 20, 117, 59, 105, -11, 9, 96, 83, -25, 65, -51, -72, -21, 50, -27, -113"
values_38,27,"{-51, -5, -87, -64, 30, 84, 89, 7, 124, 106, -95, 121, 3, -110, 3, -66, 8, -107, -12, -57, -11, 35, 88, -30, 77, -117, -54"
values_81,10,"{72, 117, -96, 21, -126, -101, -119, -56, -117, -1"
values_5,27,"{104, -82, 31, -15, 20, 107, 24, 36, 30, -88, -103, 7, 23, -34, -31, -9, 2, -81, -5, 110, -69, 27, 122, 55, 46, 26, 95"
values_40,11,"{22, -50, -92, -27, -12, -3, 77, 53, -13, 33, 36"
values_70,16,"{-106, 119, 98, -103, -99, -116, 86, 72, 15, 36, 8, 67, -65, 126, -53, 76"
values_23,4,"{-80, -23, 1, -23"
values_72,22,"{-3, -80, 88, 17, 79, 9, -2, 76, -37, 2, 4, 52, 41, -58, 7, 102, 104, -112, 80, 78, -70, 96"
values_79,32,"{-20, -19, -27, 119, -16, -80, -96, 23, -97, -87, 88, 104, -14, 49, -106, -43, -121, -65, -64, 56, 36, -106, 94, -111, -108, -118, -93, -69, -66, -81, 80, -14"
values_78,27,"{9, 65, 36, -49, -30, -48, 51, 58, 33, -94, -14, -87, 124, -85, -67, -81, 68, -109, -76, -114, -119, 11, -122, 19, 126, -23, 71"
values_87,3,"{-49, -97, 110"
values_6,12,"{3, -98, -34, 93, 17, 103, 116, 117, -83, 52, -41, 66"
values_68,15,"{83, 52, 126, 107, -14, 24, 54, -75, 55, -31, 89, -58, -122, 78, 75"
values_69,23,"{69, 25, -121, -108, 30, 116, 28, 41, -30, 13, -106, -124, -91, -70, 74, -72, 97, 21, -46, -22, 43, 79, 120"
values_1,11,"{7, 70, 2, -24, -56, -42, -68, 85, 3, 124, 94"
values_45,8,"{12, -26, -118, 83, -115, 123, 62, -110"
values_33,21,"{84, 46, 3, 112, 127, -95, -5, -41, -37, -98, 114, 19, 2, 28, 100, 68, -123, 78, -87, 112, -50"
values_15,14,"{44, -7, -99, 22, -75, 118, 47, 6, 98, -17, 113, -95, -82, 126"
values_93,21,"{63, 59, -49, 33, -77, -39, 49, 52, -30, 68, -12, -106, -64, -42, 18, -60, 107, -27, -88, -4, 126"
values_24,12,"{36, 91, -43, -45, -70, -59, 50, 60, 117, -66, 78, 75"
values_25,17,"{54, 61, -58, -61, 4, 88, -22, -39, -51, 84, -65, 72, 66, -23, 11, -46, 61"
values_26,21,"{-13, 103, -44, -55, -17, 18, 85, -70, -52, -24, 35, -74, -66, -101, 53, 114, 119, 5, 117, -13, 2"
values_48,23,"{-113, -89, -84, 82, -9, 17, -11, 54, 21, 33, -3, 31, 91, 102, 124, -108, -35, 73, 16, 13, -71, 120, 47"
values_71,23,"{8, 62, -56, 76, -124, 93, -71, -51, -23, -46, -68, -96, 54, 74, 27, -85, -27, -90, 119, 56, -37, -101, 81"
values_76,7,"{-12, -125, -27, 95, -51, -74, -109"
values_7,14,"{-40, 44, 39, 13, 39, -81, 48, 95, -84, 57, 96, 84, -84, -25"
values_50,28,"{-7, 71, -76, -3, 99, 96, -107, 50, 103, -42, 79, -88, 55, 92, -106, 56, 117, -114, -79, -93, 110, 67, -100, 87, 72, 62, 3, 124"
values_22,22,"{8, 122, -40, -16, 60, -48, 51, 113, 49, 62, -8, -37, 60, 1, -15, -84, 79, 61, 43, 110, -21, 94"
values_4,30,"{42, -6, 57, 62, -52, 12, 30, 41, -36, 124, 18, -117, 119, 49, -67, -77, -82, -77, 69, -19, 51, -55, 56, 1, 65, -76, 90, -113, -96, 50"
values_32,32,"{-20, -48, 81, 97, -113, 75, 118, 92, 70, 39, -24, 111, 53, -105, 117, 10, -44, 68, -121, -27, 22, 93, -25, 31, 38, 33, -116, -102, 53, -102, -25, -74"
values_77,10,"{13, 61, -92, 54, 122, 83, -122, 61, 17, -56"
values_91,11,"{-100, -56, -45, 24, 110, 28, -107, -52, 20, 36, 54"
values_42,28,"{17, -48, 34, 24, -26, -35, 63, 48, 77, 43, -126, 72, 101, 125, -27, -126, -127, -69, -8, 68, -2, -16, -116, -83, -125, -12, 4, -79"
values_13,30,"{124, -87, -81, -127, 75, 117, 17, 7, 13, -5, -81, -1, -60, 46, 55, 74, -60, -87, -86, 86, -128, 95, -66, -44, -8, 74, 42, 78, -78, -30"
values_41,9,"{-7, -52, -7, -127, -94, -21, -109, 122, 26"
values_55,26,"{89, 85, -38, 79, 60, 56, 119, 25, -100, -66, 54, -10, 83, 94, -48, -52, -73, 100, 127, 39, 0, 47, 2, 120, 76, 64"
values_31,14,"{72, 75, -64, 63, -87, 99, 5, -38, -111, 9, 58, 118, -46, 77"
values_66,24,"{79, 85, 34, 67, -79, 99, 91, -11, 104, -100, 20, -111, -19, 10, 63, 78, -12, 77, -43, -41, 21, -79, 93, -103"
values_65,5,"{-128, 6, 107, 55, -50"
values_62,16,"{-59, 43, 78, -13, 94, 18, 20, 75, -29, -127, -72, -62, -16, -80, 64, -74"
values_21,6,"{113, 15, -59, 35, 85, -41"
values_95,12,"{-53, 60, 9, 24, 40, -33, -44, -19, 74, -88, -49, -124"
values_84,5,"{4, -73, -28, 90, -75"
values_58,15,"{-115, 126, 123, -69, -64, -15, 21, -114, 121, 14, 13, -13, -62, 69, -109"
values_64,17,"{-62, 35, -94, 74, -41, -70, 91, 99, 78, -77, 55, 43, 37, -113, -83, -16, 47"
values_83,8,"{34, -28, 85, -46, 51, -55, 57, -29"
values_94,8,"{-127, 31, 28, 16, 88, -76, -81, 63"
values_0,11,"{99, -15, 66, -93, 99, -75, -24, -48, 24, 1, -54"
values_99,18,"{125, -11, 90, -123, -2, -33, -38, 76, -83, -12, -29, 93, 115, 40, 26, -97, 76, 23"
values_96,7,"{-114, -95, -96, 29, -98, 40, -106"
values_67,17,"{-83, -27, -63, 58, -21, -72, 29, -106, -88, -127, 67, -90, 108, 11, 99, -95, -87"
values_61,2,"{-98, -17"
values_43,12,"{50, 43, 75, 14, 106, -36, 35, -111, 38, 10, 36, -38"
values_2,2,"{20, 27"
values_54,29,"{117, -119, -96, -1, 6, 9, -111, 90, -6, 12, -76, -23, -108, 83, -111, -55, 112, 34, -36, -68, 58, 95, -107, -96, 76, -68, 62, -29, -98"
values_30,17,"{68, -108, -22, -95, -86, 38, 103, -83, -78, -42, -123, 7, -12, 127, 0, 98, 63"
values_59,12,"{51, -30, 125, 46, -45, -11, -40, -84, -127, -82, 57, -69"
values_85,5,"{85, -106, -57, -14, -11"
values_74,5,"{-122, -105, -31, -24, -6"
values_90,18,"{-64, -67, 43, 72, 110, 55, -47, 1, -24, 11, -106, -59, 47, 121, 8, -87, -66, 52"
values_18,13,"{-39, 78, 46, -46, -4, -22, 78, -52, -69, 21, 26, -102, -9"
values_52,5,"{-26, 115, 31, 36, -126"
values_44,5,"{20, -10, -118, -15, -40"
values_17,15,"{86, -23, 97, 37, 45, -35, -74, -75, 71, 10, -119, -28, -14, -64, 16"
values_36,15,"{-94, 82, -89, 58, -92, -57, -70, 30, 63, 20, -60, -121, -66, -99, 121"
values_49,16,"{95, 26, -97, 38, 26, 49, -108, -17, 56, 2, 116, 121, 109, 118, 57, 60"
values_86,26,"{27, 65, 109, -3, -91, 111, 48, 87, 36, 69, -57, -79, 37, 3, -67, -71, 95, 45, 95, -61, -104, -49, 89, -53, 25, -47"
values_37,11,"{-43, 69, 125, 84, -3, 71, -6, -43, 98, 14, 110"
values_56,29,"{45, -102, 64, 13, -21, 105, -72, 123, -45, -55, -92, 112, -112, 19, -7, -84, -34, -98, -94, 47, -78, -16, -25, -22, -26, -29, 71, 60, -58"
values_63,19,"{-97, 3, -5, 93, 37, 123, -51, -6, 70, 60, -77, 98, 84, -124, 82, -100, -96, -70, -90"
values_35,30,"{55, 67, 76, -103, 18, -78, -117, -51, 61, 126, 96, 12, 83, 34, 32, 89, -17, 53, -44, 52, -103, 72, -73, 35, 35, 82, 9, -90, -95, 69"
values_97,31,"{-44, 39, 113, 74, 88, 119, -40, -72, 52, -6, -97, -32, 99, 117, -26, 117, 33, -88, -64, -21, 9, -99, -37, 22, 112, 20, 110, 17, 80, 88, 87"
values_75,29,"{42, -113, -120, 72, -87, -41, -51, 0, 95, 96, 18, -3, 96, 73, 107, -94, 14, -4, 55, 37, -95, -59, 54, -114, -37, 115, 97, 8, -24"
values_57,15,"{60, -79, 60, -38, -61, -113, -38, -62, -47, 80, -77, 97, -22, -103, -116"
values_88,24,"{-70, -99, 89, -64, -116, 48, -11, -38, -48, -38, -23, -19, -128, -120, 25, 55, -25, 47, 13, -9, -4, 26, 30, 17"
values_10,25,"{120, 102, -118, -44, -4, 98, 108, -87, 63, -33, 41, -111, -2, -120, -18, -42, 108, -69, 17, 27, -39, -10, -20, -44, 27"
values_53,4,"{70, -128, -108, -99"
values_8,25,"{-127, -119, -55, 85, 50, 99, 0, 29, 104, 16, -47, -4, 43, 64, -110, 64, 25, 71, -9, -75, 113, -36, -77, 119, 98"
values_39,19,"{17, 66, -121, -18, 36, 120, -2, 55, -104, 73, 10, 102, -56, 75, -79, 62, -29, -113, 100"
values_47,30,"{59, 90, -109, 79, -58, -22, 33, 121, -62, -90, -117, -5, -35, 74, -15, -87, 75, -123, 48, -41, -30, 78, 26, -92, 75, 67, 115, 108, -49, 75"
values_60,24,"{-4, -3, -121, -109, -28, -22, 45, -45, 111, -126, -100, -126, 8, -52, -56, 14, 55, -71, 86, 74, -88, 85, 35, -33"
values_89,14,"{-41, 62, 53, 119, -60, -56, 3, 87, -28, 46, -71, -124, -52, 63"
values_51,5,"{73, -88, -113, -58, -97"
values_14,10,"{-16, -34, -12, -44, -84, 62, -102, -25, 66, 103"
values_28,27,"{-47, -5, -59, 30, -114, -103, 29, -126, -26, -62, -33, 62, 124, -98, -95, 67, -125, -56, -41, -76, 118, -55, -23, 95, 64, 67, -109"
values_16,26,"{79, 13, -106, -49, 25, 26, -115, 87, -17, 49, 114, 123, 18, -77, 79, -15, -65, 125, -14, 97, -5, -71, 18, -110, 30, -45"
values_34,30,"{37, -61, -122, 108, 52, -128, -38, 56, 78, -66, 70, 33, 86, 47, -123, 29, -42, 117, 112, -70, 3, -4, -53, 62, 78, -51, 108, 82, -91, -82"
values_82,19,"{29, -37, -24, 121, 120, 28, 100, -120, 81, 105, -71, -31, -3, -10, 50, -41, 71, 17, -80"
values_46,6,"{-77, -81, -72, 32, -75, 19"
values_27,6,"{-113, -12, 67, -82, 5, 63"
values_20,32,"{-35, -94, 70, 74, 23, 73, 49, 42, 111, 103, -124, -98, -50, -10, -93, -90, 66, 110, -42, -54, -97, 20, 92, -74, -30, 116, -9, 109, -38, -82, 2, -127"
values_9,17,"{98, 20, 10, 84, 80, 5, 90, -30, 123, 9, 98, 14, -98, -54, 26, -58, -89"
values_92,29,"{-98, 123, -71, -103, -112, -14, 69, -1, 9, -6, 49, 32, -101, -72, -59, 96, -56, 124, 39, -48, -61, 97, -70, 64, 2, 108, -13, -108, 34"
values_3,17,"{-18, 26, -33, -127, -86, -54, 52, 23, 9, 120, -111, 8, -123, 75, 86, -45, -3"
values_98,27,"{-54, -68, 103, 62, -29, 123, 42, -37, -58, 92, -88, 3, -56, -65, -62, 67, 21, -44, 96, 84, -61, 57, -38, -9, 82, 96, 110"
values_29,21,"{-5, 75, -101, -34, 122, -28, 74, -25, 98, 33, -36, 62, -27, 98, 98, 34, -84, -56, 116, -109, 14"
values_80,20,"{-58, -115, 126, -104, 47, -47, 46, -66, -99, -109, -70, -16, 114, 54, -11, -98, 92, -62, 1, -85"
values_73,26,"{7, -70, -57, 82, -78, -110, 30, -42, -14, -15, 2, 65, -10, 45, -77, -74, 102, 106, 112, -57, -58, -66, -58, 54, -33, 82"
